Step,Pop_Mean_DA,Pop_Mean_5HT,Pop_Mean_NA,NPC2_DA,NPC2_5HT,NPC2_NA,Distance_NPC2_to_Mean,Divergence_2_9,Divergence_2_6
177,0.4235454545454545,0.5055454545454545,0.5005454545454545,0.369,0.458,0.329,0.18618168501415686,0.2998749739474769,0.2074632497576378
178,0.4243636363636364,0.5067272727272727,0.5047272727272728,0.371,0.458,0.331,0.18815735458026786,0.29627014699425924,0.20640978658968667
179,0.42518181818181816,0.5078181818181817,0.5083636363636364,0.374,0.458,0.334,0.1884253365076377,0.2915355895941351,0.20589317618609898
180,0.42590909090909085,0.5086363636363637,0.5117272727272728,0.376,0.458,0.336,0.18956537937569523,0.2887576838804467,0.20469733754985678
181,0.4264545454545454,0.5091818181818181,0.5137272727272727,0.378,0.458,0.339,0.18840658513521766,0.2851525907299458,0.20351904087824313
182,0.42718181818181816,0.5092727272727272,0.5137272727272727,0.38,0.458,0.341,0.1862517846162212,0.2815475093123716,0.20148449071826846
183,0.4276363636363636,0.5092727272727272,0.5143636363636364,0.382,0.458,0.343,0.18459974570866142,0.2787705149401564,0.20047443727318456
184,0.42818181818181816,0.5092727272727272,0.5146363636363637,0.384,0.458,0.345,0.18264014204879309,0.27599456516388143,0.19946929588285012
185,0.42872727272727273,0.5089999999999999,0.5148181818181818,0.386,0.457,0.347,0.18081084586791546,0.27323616158920105,0.19846914117816908
186,0.42936363636363634,0.509090909090909,0.5148181818181818,0.388,0.457,0.349,0.17866192276091764,0.2696312296452323,0.19735501007068457
187,0.4300909090909091,0.5091818181818182,0.5150000000000001,0.39,0.457,0.352,0.17578174859892567,0.2660263144878717,0.19626003159074445
188,0.43063636363636365,0.5092727272727273,0.5152727272727273,0.392,0.457,0.354,0.17387955363858554,0.2632736219221364,0.19528440797974633
189,0.4311818181818182,0.5092727272727273,0.5153636363636364,0.394,0.457,0.355,0.17271775093372227,0.26133503400807173,0.19354586019855866
190,0.4318181818181818,0.5092727272727273,0.5153636363636364,0.395,0.457,0.357,0.17078365803331325,0.25828279075463,0.19171071957509317
191,0.4323636363636364,0.5090909090909091,0.5155454545454545,0.397,0.457,0.359,0.16873212179552488,0.255511252198411,0.19025771994849514
192,0.43309090909090914,0.5090909090909091,0.5155454545454545,0.399,0.457,0.361,0.16661317598924505,0.252740974121728,0.18921152184790443
193,0.43381818181818177,0.508909090909091,0.5158181818181817,0.401,0.457,0.363,0.1646966407401024,0.24997199843182433,0.1882631137530664
194,0.4344545454545454,0.508909090909091,0.516,0.402,0.457,0.365,0.16293818226453072,0.24775189202102976,0.18645642922677677
195,0.435,0.5087272727272727,0.5160909090909089,0.404,0.456,0.366,0.1620754339219602,0.24446472138122505,0.18609674903124993
196,0.43572727272727274,0.5087272727272728,0.5162727272727272,0.405,0.456,0.368,0.16034067553619996,0.24224367896810017,0.18430680942385178
197,0.4366363636363637,0.5086363636363637,0.5165454545454545,0.407,0.456,0.37,0.15850700638892962,0.23947860029656093,0.182808643121708
198,0.43727272727272726,0.5084545454545455,0.5169090909090909,0.408,0.456,0.372,0.1568662376960881,0.23725724435725878,0.18018046508986482
199,0.43800000000000006,0.5084545454545455,0.517090909090909,0.41,0.456,0.373,0.15587709716788928,0.2344930702600825,0.17932651783827175
200,0.43863636363636366,0.5083636363636365,0.5174545454545455,0.411,0.456,0.375,0.15426929872442424,0.23227139298673868,0.17756970462328306
201,0.4392727272727273,0.5083636363636365,0.5182727272727273,0.413,0.456,0.376,0.15386271652739694,0.2303497341001287,0.17672011770027768
202,0.44009090909090903,0.5081818181818183,0.5192727272727273,0.414,0.456,0.378,0.15284521960802314,0.228127157524044,0.1744476998988522
